assemblyId,candidateName,party_name,symbol
1,Aarav Sharma,Janata Vikas Party,/symbols/party1.png
1,Priya Patel,National Progress Front,/symbols/party2.png
2,Rohan Das,United People's Alliance,/symbols/party3.jpg
2,Sunita Devi,Democratic Rights Party,/symbols/party4.jpeg
2,Anil Kumar,Swadeshi Morcha,/symbols/party5.png
2,Meera Singh,Federal Democratic Party,/symbols/party6.png
1,Vikram Rathore,All India People's Front,/symbols/party7.jpeg
1,Amit Singh,Progressive Alliance of India,/symbols/party8.jpeg
2,Neha Gupta,Indian National Union,/symbols/party9.png
102,Rajesh Kumar,Lok Shakti Dal,/symbols/party10.jpeg
